Product_ID,Category,Subcategory,Brand,Product_Name,Supplier,Country_of_Origin,Price,Cost,Profit_Margin,Rating,Inventory,Status
P000001,Fashion,Jackets,Nike,Nike Fashion Product,Prime Distribution,India,59.07,28.4,51.92,4.6,299,Active
P000002,Toys,Educational,LEGO,LEGO Toys Product,Global Supplies Ltd,India,42.57,26.84,36.95,4.3,386,Discontinued
P000003,Beauty,Haircare,Nivea,Nivea Beauty Product,ABC Wholesale,USA,70.2,47.57,32.24,3.7,236,Active
P000004,Sports,Football,Adidas,Ultraboost 5,Global Supplies Ltd,China,208.57,116.32,44.23,4.0,155,Active
P000005,Accessories,Watch,Titan,Titan Accessories Product,Elite Imports,China,142.49,99.58,30.11,4.4,461,Active
P000006,Beauty,Skincare,L'Oréal,L'Oréal Beauty Product,NextGen Supply,India,62.98,46.96,25.44,4.8,463,Active
P000007,Toys,Building Blocks,Mattel,Mattel Toys Product,NextGen Supply,USA,61.08,34.27,43.89,3.8,156,Active
P000008,Home,Lighting,Prestige,Prestige Home Product,Prime Distribution,India,377.87,200.64,46.9,4.9,372,Active
P000009,Books,Self Help,Penguin,Penguin Books Product,Global Supplies Ltd,USA,24.4,12.94,46.97,3.8,310,Active
P000010,Beauty,Makeup,Nivea,Nivea Beauty Product,NextGen Supply,Japan,15.72,7.73,50.83,4.6,295,Active
P000011,Toys,Building Blocks,Hasbro,Hasbro Toys Product,ABC Wholesale,India,149.63,73.54,50.85,4.2,406,Active
P000012,Fashion,Clothing,Adidas,Adidas Fashion Product,NextGen Supply,Japan,186.99,105.73,43.46,4.4,259,Active
P000013,Electronics,Smartphone,Lenovo,Legion Pro 5,NextGen Supply,Germany,1914.56,1303.01,31.94,4.0,170,Discontinued
P000014,Home,Furniture,Philips,Philips Home Product,NextGen Supply,South Korea,221.76,133.09,39.98,3.8,487,Active
P000015,Sports,Football,Adidas,Ultraboost 5,Prime Distribution,Germany,478.14,347.48,27.33,4.9,326,Active
P000016,Accessories,Watch,Fossil,Fossil Accessories Product,ABC Wholesale,USA,203.63,106.26,47.82,3.9,310,Active
P000017,Fashion,Shoes,Levi's,Levi's Fashion Product,Universal Traders,USA,55.21,35.77,35.21,4.9,104,Active
P000018,Toys,Outdoor,LEGO,LEGO Toys Product,NextGen Supply,South Korea,38.16,20.74,45.65,5.0,352,Active
P000019,Accessories,Bag,Titan,Titan Accessories Product,Global Supplies Ltd,India,63.93,35.25,44.86,4.4,137,Active
P000020,Electronics,Laptop,Apple,iPhone 15 Pro,Global Supplies Ltd,China,2170.14,1022.69,52.87,3.9,362,Discontinued
P000021,Beauty,Haircare,Maybelline,Maybelline Beauty Product,Universal Traders,Germany,40.45,27.72,31.47,4.7,117,Active
P000022,Fashion,Jackets,Levi's,Levi's Fashion Product,Elite Imports,Japan,150.77,100.82,33.13,4.5,350,Active
P000023,Electronics,Tablet,Dell,UltraSharp Monitor,Global Supplies Ltd,India,600.24,366.68,38.91,3.7,113,Active
P000024,Accessories,Watch,Fossil,Fossil Accessories Product,Elite Imports,USA,216.72,133.3,38.49,3.6,296,Active
P000025,Fashion,Clothing,Adidas,Adidas Fashion Product,Elite Imports,Japan,154.78,109.8,29.06,4.9,104,Discontinued
P000026,Electronics,Headphones,Dell,Inspiron 16,ABC Wholesale,Japan,1786.99,1195.77,33.08,4.7,358,Discontinued
P000027,Home,Kitchen,IKEA,IKEA Home Product,Prime Distribution,China,469.66,287.74,38.73,4.6,49,Active
P000028,Accessories,Wallet,Titan,Titan Accessories Product,Prime Distribution,China,240.59,114.05,52.6,3.8,324,Active
P000029,Beauty,Skincare,Nivea,Nivea Beauty Product,Universal Traders,India,48.42,22.37,53.8,3.6,356,Active
P000030,Sports,Gym Equipment,Adidas,Adizero Boston,ABC Wholesale,India,154.84,75.76,51.07,4.5,254,Active
P000031,Fashion,Jeans,Nike,Nike Fashion Product,Universal Traders,Germany,298.91,141.08,52.8,3.8,155,Active
P000032,Books,Self Help,Penguin,Penguin Books Product,ABC Wholesale,Vietnam,16.2,11.34,30.0,4.6,333,Active
P000033,Sports,Football,Nike,Air Zoom Pegasus 41,Global Supplies Ltd,China,378.94,188.19,50.34,3.9,127,Active
P000034,Beauty,Haircare,Lakme,Lakme Beauty Product,Elite Imports,Vietnam,72.9,51.31,29.62,3.6,236,Active
P000035,Electronics,Laptop,Apple,iPad Air,NextGen Supply,Vietnam,529.72,308.59,41.74,4.6,307,Active
P000036,Fashion,Clothing,Nike,Nike Fashion Product,Universal Traders,China,253.69,158.49,37.53,3.7,85,Active
P000037,Sports,Football,Puma,Future Ultimate,Prime Distribution,South Korea,147.28,70.82,51.91,4.7,472,Discontinued
P000038,Home,Furniture,IKEA,IKEA Home Product,Prime Distribution,Japan,34.46,23.12,32.91,4.0,496,Discontinued
P000039,Beauty,Skincare,Lakme,Lakme Beauty Product,NextGen Supply,China,33.69,15.55,53.84,4.2,122,Discontinued
P000040,Books,Self Help,HarperCollins,HarperCollins Books Product,Prime Distribution,China,42.32,24.1,43.05,3.9,55,Active
P000041,Books,Business,Oxford,Oxford Books Product,Elite Imports,South Korea,59.02,36.05,38.92,4.9,79,Active
P000042,Home,Kitchen,Prestige,Prestige Home Product,Global Supplies Ltd,China,483.31,267.61,44.63,4.7,243,Active
P000043,Toys,Educational,Hasbro,Hasbro Toys Product,ABC Wholesale,China,109.23,49.21,54.95,4.9,295,Active
P000044,Books,Self Help,HarperCollins,HarperCollins Books Product,NextGen Supply,Vietnam,40.4,26.22,35.1,3.7,480,Active
P000045,Sports,Football,Under Armour,Curry Flow,NextGen Supply,Vietnam,290.57,147.48,49.24,4.5,214,Active
P000046,Sports,Football,Under Armour,HOVR Phantom,ABC Wholesale,India,232.05,144.8,37.6,4.5,258,Discontinued
P000047,Accessories,Watch,Titan,Titan Accessories Product,Universal Traders,Japan,200.5,147.96,26.2,4.6,357,Active
P000048,Sports,Running Shoes,Puma,Future Ultimate,NextGen Supply,Vietnam,135.58,69.11,49.03,3.5,145,Discontinued
P000049,Fashion,Jeans,Levi's,Levi's Fashion Product,NextGen Supply,Germany,74.44,49.05,34.11,4.2,144,Active
P000050,Electronics,Laptop,Apple,AirPods Pro,Prime Distribution,USA,2401.22,1453.67,39.46,3.6,147,Active
P000051,Accessories,Bag,Fossil,Fossil Accessories Product,NextGen Supply,Germany,247.09,155.33,37.14,4.9,476,Discontinued
P000052,Toys,Building Blocks,Hasbro,Hasbro Toys Product,Prime Distribution,South Korea,130.61,76.41,41.5,4.6,450,Active
P000053,Accessories,Watch,Titan,Titan Accessories Product,ABC Wholesale,Japan,28.6,15.32,46.43,3.9,183,Active
P000054,Home,Furniture,IKEA,IKEA Home Product,Elite Imports,South Korea,134.95,69.39,48.58,4.1,189,Discontinued
P000055,Toys,Educational,LEGO,LEGO Toys Product,Elite Imports,Japan,136.68,85.46,37.47,4.5,458,Discontinued
P000056,Accessories,Bag,Fossil,Fossil Accessories Product,ABC Wholesale,USA,103.6,74.33,28.25,4.8,295,Active
P000057,Accessories,Bag,Fossil,Fossil Accessories Product,Elite Imports,Japan,16.97,9.35,44.9,4.5,227,Active
P000058,Accessories,Wallet,Fossil,Fossil Accessories Product,Universal Traders,China,227.66,142.87,37.24,4.5,62,Discontinued
P000059,Home,Furniture,Philips,Philips Home Product,Global Supplies Ltd,Vietnam,312.6,160.52,48.65,4.0,409,Discontinued
P000060,Sports,Running Shoes,Under Armour,Curry Flow,Elite Imports,China,382.04,177.89,53.44,4.9,134,Active
P000061,Electronics,Laptop,Apple,MacBook Air M3,Global Supplies Ltd,Germany,508.1,247.88,51.21,4.5,308,Active
P000062,Accessories,Bag,Titan,Titan Accessories Product,ABC Wholesale,India,155.41,114.87,26.09,4.6,418,Active
P000063,Sports,Running Shoes,Nike,Mercurial Vapor,ABC Wholesale,Germany,348.35,256.89,26.26,4.1,386,Active
P000064,Fashion,Clothing,Zara,Zara Fashion Product,Global Supplies Ltd,South Korea,236.29,166.61,29.49,4.4,81,Active
P000065,Books,Technology,Oxford,Oxford Books Product,NextGen Supply,Vietnam,11.59,7.47,35.55,3.5,235,Discontinued
P000066,Fashion,Jackets,Levi's,Levi's Fashion Product,NextGen Supply,USA,148.73,73.75,50.41,3.8,287,Active
P000067,Accessories,Bag,Casio,Casio Accessories Product,NextGen Supply,Germany,74.41,52.5,29.44,4.7,64,Active
P000068,Accessories,Bag,Fossil,Fossil Accessories Product,Universal Traders,Germany,170.37,93.86,44.91,4.2,186,Active
P000069,Accessories,Bag,Fossil,Fossil Accessories Product,ABC Wholesale,Vietnam,77.12,48.5,37.11,4.8,304,Active
