Event_ID,Session_ID,User_ID,Product_ID,Date,Event_Type,Page,Event_Time
E00000001,S0008283,U001883,P000282,2025-04-10,Remove From Cart,Checkout,17:28:09
E00000002,S0006972,U000615,P000267,2025-05-07,Category View,Home,14:57:18
E00000003,S0005240,U000458,P000806,2024-11-24,Product View,Search,21:42:38
E00000004,S0006629,U000440,P000637,2024-08-29,Begin Checkout,Category,01:44:22
E00000005,S0000058,U001855,P000140,2024-03-31,Page View,Checkout,04:11:01
E00000006,S0000177,U001465,P000046,2024-03-01,Add To Cart,Category,17:28:03
E00000007,S0005967,U001075,P000147,2025-12-17,Remove From Cart,Checkout,17:05:22
E00000008,S0004045,U000814,P000329,2025-08-08,Payment,Category,02:33:07
E00000009,S0007065,U001283,P000358,2025-08-09,Add To Cart,Cart,15:51:30
E00000010,S0007823,U001124,P000289,2024-06-06,Wishlist,Category,20:50:23
E00000011,S0007628,U001839,P000530,2024-03-29,Purchase,Product,09:25:54
E00000012,S0007046,U001489,P000617,2024-05-23,Product View,Home,11:29:16
E00000013,S0001701,U000157,P000988,2024-02-28,Begin Checkout,Home,16:24:24
E00000014,S0005787,U000140,P000923,2024-07-22,Category View,Home,13:45:18
E00000015,S0007997,U001039,P000487,2025-01-31,Begin Checkout,Checkout,19:42:23
E00000016,S0002004,U000358,P000985,2025-04-18,Payment,Profile,07:21:14
E00000017,S0008009,U000518,P000237,2025-01-22,Add To Cart,Home,01:15:34
E00000018,S0003163,U000582,P000138,2024-02-26,Remove From Cart,Search,17:28:06
E00000019,S0001996,U000937,P000596,2025-04-09,Add To Cart,Search,09:22:25
E00000020,S0009371,U000476,P000391,2025-07-08,Purchase,Cart,00:53:09
E00000021,S0000005,U000391,P000860,2025-01-16,Landing,Home,10:13:15
E00000022,S0006287,U001485,P000568,2024-01-19,Page View,Product,09:00:44
E00000023,S0005880,U001195,P000065,2024-05-30,Landing,Profile,14:52:36
E00000024,S0002229,U000294,P000435,2025-12-10,Add To Cart,Search,16:36:04
E00000025,S0000256,U001405,P000560,2024-04-04,Product View,Cart,14:25:23
E00000026,S0008553,U000830,P000619,2024-01-02,Purchase,Home,18:00:45
E00000027,S0000587,U000614,P000213,2025-07-04,Page View,Product,08:36:38
E00000028,S0009291,U001058,P000392,2025-01-11,Purchase,Category,16:12:29
E00000029,S0003573,U001574,P000518,2024-06-13,Payment,Product,16:22:30
E00000030,S0001142,U000813,P000534,2024-11-05,Purchase,Home,16:16:30
E00000031,S0007536,U001508,P000179,2024-08-04,Landing,Product,18:28:28
E00000032,S0003745,U000491,P000548,2025-03-22,Landing,Home,09:55:09
E00000033,S0001686,U001406,P000029,2024-08-19,Wishlist,Checkout,04:29:47
E00000034,S0008353,U000985,P000148,2025-07-19,Add To Cart,Cart,11:37:44
E00000035,S0001219,U001629,P000134,2025-05-25,Wishlist,Category,23:52:18
E00000036,S0005400,U000272,P000959,2025-03-07,Purchase,Checkout,03:03:29
E00000037,S0007818,U000438,P000001,2025-01-03,Product View,Search,07:03:12
E00000038,S0009261,U000365,P000225,2025-03-28,Purchase,Category,00:35:07
E00000039,S0001093,U000686,P000700,2024-12-06,Product View,Home,02:33:17
E00000040,S0003107,U000289,P000309,2025-11-19,Page View,Cart,12:45:57
E00000041,S0007021,U000187,P000836,2025-06-27,Product View,Category,04:12:59
E00000042,S0009488,U000258,P000292,2024-09-10,Wishlist,Cart,13:01:22
E00000043,S0002796,U001350,P000012,2024-10-12,Category View,Checkout,21:55:44
E00000044,S0003469,U000447,P000469,2024-10-22,Payment,Product,22:52:54
E00000045,S0009269,U000859,P000344,2025-01-05,Search,Search,16:39:31
E00000046,S0007404,U000646,P000479,2024-08-27,Wishlist,Search,16:10:59
E00000047,S0005515,U001464,P000097,2025-03-05,Payment,Search,16:52:28
E00000048,S0009515,U001058,P000101,2025-08-04,Page View,Category,13:49:15
E00000049,S0008411,U000917,P000317,2024-01-30,Product View,Category,13:59:29
E00000050,S0009517,U000449,P000485,2024-07-05,Search,Search,06:30:05
E00000051,S0002562,U001853,P000524,2024-08-02,Purchase,Search,00:32:11
E00000052,S0009001,U001122,P000017,2025-04-13,Begin Checkout,Checkout,13:25:15
E00000053,S0001975,U000179,P000540,2024-10-24,Purchase,Home,17:54:37
E00000054,S0004661,U000924,P000626,2024-06-12,Search,Cart,00:06:20
E00000055,S0003301,U000980,P000121,2024-11-21,Product View,Search,00:04:47
E00000056,S0004543,U000449,P000877,2024-04-27,Product View,Home,03:21:08
E00000057,S0001325,U001792,P000883,2024-06-02,Wishlist,Checkout,01:13:02
E00000058,S0008856,U001716,P000218,2025-06-22,Purchase,Home,23:25:40
E00000059,S0001708,U000727,P000304,2025-09-29,Product View,Profile,12:52:16
E00000060,S0004033,U000080,P000012,2025-09-27,Page View,Product,07:50:06
E00000061,S0000715,U001460,P000722,2025-02-16,Purchase,Category,10:34:02
E00000062,S0004126,U001569,P000133,2024-10-29,Payment,Cart,09:45:44
E00000063,S0009040,U000496,P000153,2024-08-10,Wishlist,Profile,22:56:24
E00000064,S0009879,U000553,P000021,2024-10-10,Remove From Cart,Checkout,05:55:59
E00000065,S0002731,U001478,P000957,2024-09-21,Add To Cart,Cart,02:04:44
E00000066,S0006158,U001094,P000787,2025-12-19,Page View,Home,09:04:16
E00000067,S0006381,U001920,P000237,2025-02-12,Wishlist,Checkout,02:28:57
E00000068,S0000624,U001772,P000337,2025-08-01,Product View,Cart,01:26:16
E00000069,S0004953,U000075,P000596,2024-07-30,Purchase,Product,06:22:46
E00000070,S0005770,U000062,P000807,2025-10-25,Page View,Home,09:46:44
E00000071,S0003087,U001062,P000832,2025-05-13,Landing,Home,19:03:33
E00000072,S0005145,U001425,P000595,2024-04-15,Product View,Cart,11:13:39
E00000073,S0009385,U001007,P000156,2024-07-08,Category View,Home,06:41:35
E00000074,S0000022,U001631,P000700,2025-10-11,Payment,Search,11:59:28
E00000075,S0000096,U000559,P000737,2024-01-28,Page View,Checkout,14:41:38
E00000076,S0003248,U000081,P000730,2024-04-15,Product View,Category,13:21:20
E00000077,S0002858,U001919,P000187,2024-12-05,Category View,Category,07:09:28
E00000078,S0005016,U001191,P000883,2024-02-26,Category View,Category,14:38:07
E00000079,S0006543,U001681,P000832,2025-12-12,Begin Checkout,Home,05:21:52
E00000080,S0007320,U000241,P000084,2024-06-02,Landing,Checkout,04:46:42
E00000081,S0002063,U000562,P000576,2024-11-10,Search,Product,12:23:09
E00000082,S0006587,U001585,P000454,2024-02-09,Begin Checkout,Checkout,05:51:25
E00000083,S0004872,U000166,P000442,2024-05-20,Product View,Profile,17:06:15
E00000084,S0005031,U000599,P000070,2025-01-06,Purchase,Home,04:53:09
E00000085,S0009322,U000256,P000244,2024-03-08,Product View,Category,00:48:40
E00000086,S0004179,U001422,P000882,2025-10-31,Product View,Cart,22:40:24
E00000087,S0001819,U000616,P000285,2025-01-20,Begin Checkout,Search,13:43:19
E00000088,S0005191,U001064,P000140,2025-08-09,Purchase,Search,21:45:05
E00000089,S0002006,U001086,P000475,2024-02-26,Category View,Category,05:46:03
E00000090,S0009396,U001566,P000122,2024-02-24,Remove From Cart,Home,01:34:49
E00000091,S0004121,U001023,P000427,2024-03-27,Product View,Category,11:24:22
E00000092,S0000973,U000073,P000791,2024-05-14,Begin Checkout,Cart,04:34:18
E00000093,S0000016,U001684,P000082,2025-06-15,Begin Checkout,Profile,16:45:07
E00000094,S0001817,U001811,P000853,2025-10-13,Wishlist,Cart,01:53:27
E00000095,S0009801,U000297,P000808,2024-03-27,Page View,Cart,04:37:46
E00000096,S0001343,U000190,P000965,2024-04-06,Search,Profile,05:04:16
E00000097,S0007488,U000583,P000480,2025-08-08,Search,Product,09:33:17
E00000098,S0009387,U000454,P000479,2024-08-23,Remove From Cart,Checkout,13:16:04
E00000099,S0005197,U000347,P000185,2024-01-29,Remove From Cart,Profile,07:05:17
E00000100,S0001405,U001015,P000721,2024-06-08,Page View,Profile,01:32:40
E00000101,S0004322,U000496,P000158,2025-04-11,Begin Checkout,Checkout,15:34:14
E00000102,S0001051,U001273,P000981,2025-08-11,Product View,Product,03:35:32
E00000103,S0001488,U000852,P000456,2025-08-19,Product View,Search,05:16:15
E00000104,S0005302,U001666,P000354,2024-01-28,Product View,Checkout,21:20:50
E00000105,S0001132,U001646,P000453,2024-12-22,Search,Search,07:53:25
E00000106,S0000607,U000352,P000781,2025-05-29,Begin Checkout,Home,02:31:57
E00000107,S0001077,U000184,P000140,2025-06-05,Landing,Cart,06:34:29
E00000108,S0008198,U000346,P000348,2024-08-13,Payment,Product,00:02:51
E00000109,S0001350,U001867,P000137,2025-12-21,Product View,Checkout,00:34:21
E00000110,S0002829,U000192,P000132,2025-02-10,Category View,Category,03:47:30
