Order_ID,User_ID,Session_ID,Product_ID,Order_Date,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Shipping_Method,Order_Status
O0000001,U001822,S0000649,P000341,2024-05-28,1,119.4,20,95.52,66.05,29.47,Debit Card,Standard,Completed
O0000002,U000614,S0003714,P000796,2025-03-12,4,175.76,0,703.04,519.52,183.52,Credit Card,Express,Completed
O0000003,U000925,S0007265,P000323,2024-02-29,3,245.21,0,735.63,547.62,188.01,Credit Card,Same Day,Completed
O0000004,U000990,S0004418,P000547,2024-10-17,5,1382.3,15,5874.77,3772.25,2102.52,Debit Card,Same Day,Completed
O0000005,U001184,S0005658,P000802,2025-07-20,2,1852.84,10,3335.11,2707.32,627.79,UPI,Standard,Completed
O0000006,U000628,S0002054,P000963,2025-07-10,4,107.74,5,409.41,243.08,166.33,Credit Card,Express,Returned
O0000007,U001344,S0006857,P000274,2024-05-31,5,55.55,15,236.09,134.1,101.99,UPI,Standard,Completed
O0000008,U001376,S0009101,P000501,2024-01-03,1,96.47,5,91.65,59.55,32.1,Net Banking,Express,Completed
O0000009,U000497,S0004723,P000389,2025-01-14,5,173.37,30,606.79,527.85,78.94,Debit Card,Same Day,Completed
O0000010,U000665,S0001053,P000624,2024-11-02,5,214.71,10,966.19,782.7,183.49,Credit Card,Same Day,Completed
O0000011,U001861,S0009154,P000831,2025-07-24,3,2478.9,5,7064.87,4023.09,3041.78,PayPal,Same Day,Completed
O0000012,U001950,S0006884,P000536,2025-10-26,1,35.51,5,33.73,23.8,9.93,Net Banking,Same Day,Cancelled
O0000013,U001031,S0008796,P000247,2024-05-30,4,403.64,20,1291.65,808.52,483.13,PayPal,Standard,Completed
O0000014,U000592,S0003954,P000444,2024-03-11,4,31.89,5,121.18,65.8,55.38,UPI,Standard,Returned
O0000015,U000092,S0001968,P000034,2024-01-01,5,72.9,15,309.82,256.55,53.27,Debit Card,Same Day,Completed
O0000016,U000591,S0002837,P000604,2024-01-01,3,767.26,15,1956.51,1422.24,534.27,Credit Card,Same Day,Completed
O0000017,U000073,S0007932,P000779,2024-01-13,1,99.55,15,84.62,69.73,14.89,Debit Card,Standard,Completed
O0000018,U000428,S0000207,P000263,2025-04-05,5,87.59,25,328.46,275.5,52.96,UPI,Express,Cancelled
O0000019,U001868,S0008844,P000058,2024-11-25,1,227.66,20,182.13,142.87,39.26,PayPal,Standard,Cancelled
O0000020,U001670,S0001837,P000843,2024-03-07,5,383.5,10,1725.75,1200.0,525.75,Credit Card,Standard,Completed
O0000021,U001860,S0009357,P000583,2024-01-23,1,1699.76,25,1274.82,996.27,278.55,UPI,Standard,Returned
O0000022,U001672,S0008944,P000252,2024-10-08,2,57.88,25,86.82,68.04,18.78,Credit Card,Same Day,Completed
O0000023,U001673,S0005962,P000513,2024-12-06,4,21.53,30,60.28,62.56,-2.28,Credit Card,Standard,Completed
O0000024,U001621,S0009188,P000120,2025-01-21,5,52.64,0,263.2,129.85,133.35,Debit Card,Same Day,Returned
O0000025,U000243,S0008999,P000030,2024-03-18,2,154.84,25,232.26,151.52,80.74,Debit Card,Standard,Completed
O0000026,U000576,S0008666,P000114,2025-12-01,1,52.67,20,42.14,24.42,17.72,Credit Card,Same Day,Completed
O0000027,U001641,S0008876,P000465,2024-05-03,1,1558.49,25,1168.87,964.83,204.04,UPI,Express,Completed
O0000028,U001848,S0003475,P000668,2025-11-30,1,1995.91,30,1397.14,1188.6,208.54,UPI,Standard,Completed
O0000029,U000392,S0002060,P000936,2024-12-02,1,59.4,25,44.55,35.49,9.06,Debit Card,Express,Returned
O0000030,U001153,S0000250,P000612,2025-02-09,2,575.7,15,978.69,555.08,423.61,Credit Card,Standard,Completed
O0000031,U000871,S0004210,P000263,2024-07-19,5,87.59,20,350.36,275.5,74.86,UPI,Standard,Cancelled
O0000032,U000860,S0002596,P000274,2024-02-01,4,55.55,30,155.54,107.28,48.26,Net Banking,Same Day,Returned
O0000033,U000244,S0004388,P000624,2024-03-05,5,214.71,20,858.84,782.7,76.14,Debit Card,Same Day,Returned
O0000034,U000082,S0006043,P000195,2024-01-19,3,28.45,5,81.08,57.96,23.12,Credit Card,Same Day,Cancelled
O0000035,U001962,S0002483,P000901,2025-07-17,3,22.48,5,64.07,43.68,20.39,UPI,Same Day,Completed
O0000036,U000491,S0000246,P000414,2025-04-14,4,135.45,15,460.53,334.36,126.17,Debit Card,Standard,Completed
O0000037,U001888,S0005904,P000711,2024-04-09,5,195.27,5,927.53,481.45,446.08,Net Banking,Express,Cancelled
O0000038,U001134,S0004986,P000817,2025-08-09,3,8.52,5,24.28,17.67,6.61,UPI,Express,Cancelled
O0000039,U001366,S0001148,P000936,2024-04-07,5,59.4,25,222.75,177.45,45.3,PayPal,Express,Completed
O0000040,U001503,S0005067,P000691,2024-11-26,3,1603.78,0,4811.34,2397.18,2414.16,UPI,Same Day,Cancelled
O0000041,U001388,S0003298,P000661,2025-09-27,3,33.99,0,101.97,71.82,30.15,PayPal,Standard,Completed
O0000042,U000003,S0004063,P000111,2025-02-09,4,698.26,0,2793.04,1930.76,862.28,UPI,Express,Completed
O0000043,U000148,S0005944,P000926,2024-08-21,2,139.28,20,222.85,175.34,47.51,UPI,Standard,Returned
O0000044,U000436,S0006137,P000733,2024-05-16,4,366.39,15,1245.73,873.84,371.89,UPI,Express,Completed
O0000045,U000415,S0002434,P000894,2025-09-26,3,39.38,25,88.61,61.44,27.17,Net Banking,Standard,Completed
O0000046,U001191,S0003519,P000705,2024-10-02,5,16.44,20,65.76,37.05,28.71,Credit Card,Standard,Completed
