Session_ID,User_ID,Date,Device,Operating_System,Browser,Traffic_Source,Session_Duration_Min,Page_Views,Bounce,Converted
S0000001,U001729,2024-06-01,Mobile,macOS,Firefox,Instagram,11,5,False,False
S0000002,U000974,2024-12-09,Mobile,iOS,Edge,Referral,44,11,False,False
S0000003,U001486,2025-10-09,Mobile,iOS,Chrome,Referral,35,1,True,False
S0000004,U001848,2025-04-02,Desktop,Windows,Safari,Instagram,41,10,False,False
S0000005,U000391,2025-01-16,Desktop,Android,Chrome,Email,26,10,False,False
S0000006,U000562,2025-02-02,Mobile,iOS,Safari,Paid Search,43,12,False,False
S0000007,U001586,2024-12-28,Desktop,Android,Chrome,Direct,10,6,False,False
S0000008,U001857,2024-10-06,Tablet,iOS,Safari,Instagram,55,4,False,True
S0000009,U000530,2025-09-24,Mobile,Android,Firefox,Direct,51,10,False,False
S0000010,U000965,2024-02-18,Mobile,Windows,Firefox,Referral,22,7,False,False
S0000011,U001673,2024-12-08,Tablet,Windows,Edge,Organic Search,52,9,False,False
S0000012,U000528,2025-12-05,Mobile,macOS,Firefox,Email,13,5,False,True
S0000013,U001331,2025-01-23,Desktop,iOS,Safari,Referral,9,10,False,False
S0000014,U000309,2025-02-21,Mobile,macOS,Chrome,Organic Search,53,1,True,False
S0000015,U000097,2025-04-07,Mobile,iOS,Edge,Email,32,5,False,False
S0000016,U001684,2025-06-15,Mobile,iOS,Chrome,Referral,56,8,False,True
S0000017,U000181,2024-03-01,Tablet,macOS,Chrome,YouTube,20,5,False,False
S0000018,U001625,2024-01-02,Desktop,macOS,Edge,Paid Search,16,9,False,False
S0000019,U000310,2025-02-25,Tablet,macOS,Firefox,Organic Search,59,6,False,False
S0000020,U000755,2024-09-13,Desktop,macOS,Safari,Paid Search,48,6,False,False
S0000021,U000002,2024-12-02,Tablet,macOS,Firefox,Paid Search,34,3,False,False
S0000022,U001631,2025-10-11,Desktop,Android,Chrome,Facebook,18,3,False,False
S0000023,U001250,2025-03-26,Tablet,macOS,Edge,YouTube,7,12,False,False
S0000024,U001661,2025-08-23,Tablet,Android,Chrome,Direct,14,12,False,False
S0000025,U000665,2024-02-11,Tablet,Android,Chrome,Instagram,9,4,False,False
S0000026,U000774,2025-02-17,Tablet,Windows,Edge,Direct,37,1,True,True
S0000027,U001511,2025-12-24,Tablet,iOS,Firefox,Instagram,43,12,False,True
S0000028,U000856,2025-12-18,Desktop,Windows,Firefox,Facebook,27,8,False,False
S0000029,U001250,2024-03-14,Tablet,macOS,Safari,Organic Search,8,12,False,False
S0000030,U001071,2024-02-10,Tablet,Android,Chrome,Paid Search,19,6,False,False
S0000031,U000395,2024-04-21,Desktop,iOS,Safari,YouTube,26,11,False,False
S0000032,U001023,2024-03-19,Desktop,iOS,Safari,YouTube,32,11,False,False
S0000033,U000951,2024-05-19,Desktop,macOS,Chrome,Instagram,25,7,False,False
S0000034,U001797,2025-08-19,Tablet,iOS,Edge,YouTube,9,1,True,False
S0000035,U001149,2024-03-12,Mobile,Windows,Safari,Instagram,20,6,False,False
S0000036,U001108,2025-10-08,Tablet,macOS,Edge,Referral,4,5,False,False
S0000037,U000760,2025-12-15,Tablet,iOS,Edge,Direct,10,8,False,False
S0000038,U001305,2025-02-23,Tablet,iOS,Chrome,YouTube,1,7,False,True
S0000039,U000968,2025-01-19,Tablet,macOS,Edge,YouTube,57,10,False,False
S0000040,U001108,2024-03-05,Mobile,macOS,Safari,Direct,51,11,False,False
S0000041,U001312,2024-07-25,Desktop,Android,Chrome,Email,20,7,False,False
S0000042,U001130,2025-06-21,Mobile,Android,Chrome,Email,11,2,False,False
S0000043,U001517,2024-08-17,Mobile,Windows,Chrome,Paid Search,37,4,False,False
S0000044,U001489,2025-02-21,Mobile,macOS,Firefox,Facebook,52,9,False,False
S0000045,U000581,2024-01-21,Tablet,macOS,Firefox,Instagram,33,9,False,False
S0000046,U000283,2025-07-18,Mobile,macOS,Chrome,Instagram,9,12,False,False
S0000047,U001369,2024-11-14,Tablet,macOS,Firefox,Instagram,5,5,False,False
S0000048,U001803,2025-10-02,Mobile,iOS,Chrome,Referral,30,12,False,False
S0000049,U000636,2024-12-04,Tablet,macOS,Chrome,Email,37,9,False,False
S0000050,U001605,2025-02-25,Desktop,macOS,Edge,Email,22,6,False,False
S0000051,U001330,2024-07-09,Tablet,iOS,Safari,Facebook,52,9,False,False
S0000052,U001672,2024-08-11,Mobile,iOS,Safari,Organic Search,5,8,False,False
S0000053,U001716,2025-07-05,Tablet,Windows,Safari,Direct,45,2,False,False
S0000054,U000003,2025-10-03,Desktop,macOS,Safari,Direct,17,7,False,False
S0000055,U000645,2024-06-26,Tablet,iOS,Edge,YouTube,38,4,False,False
S0000056,U000420,2025-08-04,Desktop,macOS,Edge,YouTube,34,6,False,False
S0000057,U001581,2025-10-05,Tablet,Windows,Chrome,Organic Search,31,10,False,False
S0000058,U001855,2024-03-31,Desktop,Windows,Chrome,Instagram,9,11,False,False
S0000059,U000675,2025-06-01,Mobile,Windows,Edge,Referral,55,12,False,False
S0000060,U000070,2024-03-08,Mobile,iOS,Chrome,Organic Search,11,2,False,False
S0000061,U001989,2024-12-02,Tablet,macOS,Edge,Facebook,41,5,False,False
S0000062,U001991,2025-07-19,Tablet,Android,Edge,Organic Search,53,12,False,False
S0000063,U000710,2024-05-15,Desktop,Android,Edge,Email,7,7,False,False
S0000064,U001082,2025-09-29,Mobile,iOS,Edge,Direct,44,6,False,True
S0000065,U001718,2025-06-02,Tablet,Windows,Firefox,Organic Search,25,3,False,False
S0000066,U000320,2025-04-23,Desktop,iOS,Firefox,Paid Search,16,1,True,False
S0000067,U001628,2024-05-18,Mobile,Android,Firefox,Facebook,44,5,False,False
S0000068,U000455,2024-09-12,Desktop,iOS,Chrome,Email,13,6,False,True
S0000069,U001731,2024-12-10,Tablet,Windows,Safari,Organic Search,48,4,False,False
S0000070,U001113,2024-12-14,Desktop,Android,Chrome,Organic Search,9,5,False,False
S0000071,U000592,2024-08-12,Desktop,Windows,Edge,Email,59,10,False,True
S0000072,U001721,2025-08-19,Mobile,Android,Safari,Referral,44,6,False,False
S0000073,U001640,2025-05-28,Desktop,iOS,Firefox,Facebook,41,11,False,False
S0000074,U000918,2025-02-11,Mobile,macOS,Firefox,Referral,29,7,False,True
S0000075,U000769,2025-06-26,Tablet,Windows,Firefox,Referral,15,6,False,False
S0000076,U000565,2024-05-27,Desktop,macOS,Chrome,Instagram,7,3,False,False
S0000077,U000622,2024-05-07,Mobile,Android,Firefox,Direct,58,11,False,False
S0000078,U001567,2024-08-20,Mobile,Windows,Firefox,Organic Search,30,12,False,True
S0000079,U000904,2024-08-31,Desktop,Android,Edge,Organic Search,60,11,False,True
S0000080,U000488,2024-06-24,Tablet,iOS,Edge,Facebook,28,3,False,False
S0000081,U001501,2025-02-11,Mobile,Windows,Edge,Organic Search,52,8,False,False
S0000082,U000948,2025-12-31,Tablet,Windows,Edge,Referral,15,8,False,False
S0000083,U000477,2024-08-27,Tablet,iOS,Firefox,Referral,23,10,False,False
S0000084,U001253,2024-03-29,Mobile,Windows,Chrome,YouTube,43,2,False,False
S0000085,U000399,2024-06-13,Mobile,macOS,Firefox,Paid Search,44,3,False,False
S0000086,U001406,2025-06-04,Desktop,Android,Safari,Facebook,3,1,True,False
S0000087,U001642,2024-09-12,Desktop,iOS,Edge,Direct,57,4,False,False
S0000088,U000803,2024-05-19,Desktop,Windows,Firefox,Direct,48,10,False,False
S0000089,U000059,2024-03-16,Tablet,Windows,Chrome,Referral,11,12,False,False
S0000090,U001022,2025-02-16,Desktop,macOS,Edge,Instagram,41,3,False,False
S0000091,U001417,2024-10-27,Tablet,macOS,Firefox,Referral,11,8,False,False
S0000092,U000152,2024-02-11,Mobile,Android,Firefox,Email,7,1,True,False
S0000093,U000788,2025-12-10,Mobile,Windows,Safari,Email,3,1,True,True
S0000094,U001025,2024-08-30,Tablet,macOS,Safari,Referral,41,3,False,False
S0000095,U001183,2025-02-18,Desktop,macOS,Chrome,Referral,57,6,False,False
S0000096,U000559,2024-01-28,Desktop,Windows,Edge,Facebook,11,9,False,False
S0000097,U000011,2025-09-21,Mobile,Android,Firefox,YouTube,18,7,False,False
S0000098,U000082,2024-03-04,Tablet,macOS,Firefox,Paid Search,23,11,False,False
S0000099,U001149,2025-06-13,Tablet,Android,Firefox,Paid Search,22,5,False,False
S0000100,U001865,2024-09-24,Desktop,Windows,Firefox,Paid Search,30,6,False,False
S0000101,U001108,2025-04-14,Desktop,macOS,Safari,Instagram,51,12,False,False
S0000102,U000768,2025-08-06,Tablet,macOS,Firefox,YouTube,46,10,False,False
S0000103,U000012,2024-12-25,Tablet,Android,Edge,Referral,1,1,True,False
S0000104,U000315,2024-07-25,Tablet,macOS,Firefox,Facebook,48,6,False,False
S0000105,U000194,2025-07-05,Tablet,Android,Edge,Direct,41,3,False,True
S0000106,U000991,2024-03-01,Desktop,iOS,Safari,Instagram,21,2,False,False
S0000107,U001404,2024-01-31,Tablet,Android,Edge,Referral,54,12,False,False
S0000108,U000059,2024-11-12,Mobile,iOS,Edge,YouTube,26,7,False,True
S0000109,U000977,2024-01-02,Tablet,macOS,Chrome,Paid Search,20,4,False,True
S0000110,U000411,2025-02-03,Tablet,Android,Chrome,Organic Search,15,8,False,False
S0000111,U000420,2024-01-28,Mobile,iOS,Edge,Direct,40,4,False,False
S0000112,U001236,2025-07-17,Mobile,Windows,Firefox,YouTube,11,10,False,False
S0000113,U001963,2025-09-20,Mobile,macOS,Safari,Instagram,58,3,False,False
S0000114,U000771,2024-02-28,Tablet,macOS,Edge,Facebook,13,10,False,True
S0000115,U000674,2025-11-01,Tablet,Windows,Chrome,Referral,49,8,False,False
S0000116,U001437,2024-02-05,Desktop,macOS,Safari,YouTube,33,3,False,False
S0000117,U001321,2024-08-07,Mobile,macOS,Chrome,Facebook,39,5,False,False
S0000118,U001891,2024-07-10,Mobile,iOS,Chrome,Instagram,14,9,False,False
S0000119,U001753,2024-04-17,Tablet,macOS,Edge,Referral,22,10,False,False
S0000120,U001473,2025-05-11,Tablet,Android,Edge,Direct,51,3,False,False
S0000121,U000895,2025-12-18,Mobile,macOS,Edge,Facebook,21,8,False,False
S0000122,U001793,2025-06-28,Tablet,Android,Safari,Organic Search,46,7,False,False
S0000123,U001215,2025-06-01,Mobile,Android,Edge,Facebook,47,11,False,False
S0000124,U001416,2024-01-11,Desktop,macOS,Safari,Paid Search,41,5,False,False
S0000125,U000288,2025-10-11,Desktop,macOS,Chrome,Organic Search,3,6,False,False
S0000126,U000580,2024-09-17,Tablet,macOS,Safari,Direct,25,9,False,False
S0000127,U000280,2025-05-02,Desktop,Windows,Edge,Instagram,18,5,False,False
S0000128,U000685,2024-03-20,Tablet,iOS,Safari,Paid Search,6,9,False,False
S0000129,U000504,2024-10-03,Mobile,Android,Edge,Paid Search,15,11,False,False
S0000130,U000504,2025-09-30,Mobile,macOS,Edge,Facebook,35,4,False,False
S0000131,U000492,2024-11-12,Mobile,Android,Safari,Referral,31,7,False,False
S0000132,U000186,2024-03-20,Tablet,Windows,Chrome,Direct,39,4,False,False
S0000133,U000142,2024-03-26,Mobile,Windows,Firefox,Direct,11,1,True,True
S0000134,U000776,2025-09-08,Mobile,Windows,Firefox,Direct,2,1,True,False
S0000135,U000818,2025-02-20,Mobile,macOS,Edge,Paid Search,14,2,False,False
S0000136,U000960,2025-05-10,Mobile,Windows,Edge,Referral,19,1,True,False
S0000137,U001193,2024-03-10,Tablet,macOS,Safari,Direct,3,3,False,False
S0000138,U001590,2025-10-22,Desktop,Windows,Edge,Paid Search,3,2,False,False
S0000139,U000943,2025-07-21,Desktop,macOS,Chrome,Organic Search,43,8,False,False
S0000140,U000085,2025-02-06,Tablet,Windows,Safari,YouTube,45,1,True,False
S0000141,U000210,2025-04-04,Mobile,Android,Firefox,Facebook,56,6,False,False
S0000142,U001451,2025-08-21,Mobile,macOS,Chrome,Instagram,34,4,False,False
S0000143,U000195,2024-05-12,Tablet,macOS,Firefox,YouTube,59,2,False,False
S0000144,U001605,2025-07-21,Tablet,Windows,Safari,Organic Search,40,2,False,False
S0000145,U000375,2025-05-23,Mobile,Windows,Firefox,Organic Search,9,8,False,False
S0000146,U001440,2024-06-06,Tablet,Windows,Edge,Facebook,3,10,False,False
S0000147,U000674,2025-11-17,Mobile,Android,Edge,Direct,41,12,False,False
S0000148,U001082,2024-04-04,Mobile,Windows,Firefox,Email,8,7,False,False
S0000149,U001035,2024-05-17,Tablet,Android,Edge,Instagram,12,5,False,False
S0000150,U001306,2024-05-26,Mobile,iOS,Edge,Organic Search,12,12,False,False
S0000151,U001877,2025-07-22,Mobile,Windows,Safari,Referral,57,3,False,True
S0000152,U001637,2025-04-16,Mobile,Android,Edge,YouTube,37,6,False,False
S0000153,U001156,2025-02-24,Tablet,Windows,Safari,Referral,32,11,False,True
S0000154,U000610,2025-08-11,Desktop,macOS,Safari,Direct,33,2,False,False
S0000155,U000132,2024-02-25,Mobile,iOS,Edge,YouTube,39,1,True,False
S0000156,U000795,2024-08-01,Desktop,macOS,Edge,Organic Search,56,5,False,False
S0000157,U000914,2025-01-13,Tablet,iOS,Chrome,Referral,11,3,False,True
S0000158,U001909,2025-06-16,Mobile,iOS,Chrome,Instagram,44,6,False,False
S0000159,U000891,2024-08-05,Tablet,iOS,Chrome,Organic Search,51,4,False,True
S0000160,U000329,2024-05-01,Desktop,iOS,Chrome,Facebook,43,6,False,True
S0000161,U001466,2024-03-27,Desktop,macOS,Safari,Referral,33,6,False,False
S0000162,U000949,2024-11-12,Tablet,iOS,Safari,Referral,4,4,False,False
S0000163,U000781,2024-04-19,Mobile,Android,Chrome,Referral,40,8,False,True
S0000164,U001823,2024-04-09,Mobile,iOS,Edge,Instagram,26,5,False,False
S0000165,U000748,2025-06-03,Mobile,macOS,Edge,Referral,21,12,False,False
S0000166,U000085,2024-09-07,Desktop,Android,Edge,Direct,11,8,False,False
S0000167,U001909,2025-01-22,Tablet,Android,Edge,Organic Search,37,1,True,False
S0000168,U000643,2024-10-13,Mobile,Windows,Edge,Facebook,24,2,False,True
S0000169,U001931,2025-06-15,Desktop,Windows,Chrome,Organic Search,2,7,False,False
S0000170,U001722,2025-06-19,Mobile,macOS,Firefox,Paid Search,24,1,True,False
S0000171,U000583,2025-01-30,Tablet,iOS,Safari,Paid Search,5,11,False,False
S0000172,U000958,2025-07-19,Tablet,macOS,Firefox,Instagram,47,2,False,False
S0000173,U001698,2024-08-20,Tablet,macOS,Edge,Paid Search,52,8,False,False
S0000174,U000424,2024-09-22,Desktop,Windows,Firefox,Facebook,11,5,False,False
S0000175,U001233,2025-03-19,Mobile,Windows,Chrome,Paid Search,35,11,False,True
S0000176,U001059,2025-07-31,Desktop,macOS,Safari,YouTube,7,5,False,False
S0000177,U001465,2024-03-01,Mobile,iOS,Edge,Facebook,30,8,False,False
S0000178,U000413,2024-01-01,Mobile,macOS,Chrome,Direct,37,7,False,False
S0000179,U000710,2024-12-04,Desktop,iOS,Chrome,Referral,51,2,False,False
S0000180,U000088,2025-10-10,Mobile,Android,Edge,Email,56,8,False,False
S0000181,U000472,2025-04-18,Desktop,Android,Firefox,Referral,36,1,True,False
S0000182,U001011,2024-12-25,Tablet,Android,Firefox,Email,33,3,False,False
S0000183,U000024,2024-11-14,Desktop,Android,Firefox,Referral,47,3,False,True
S0000184,U000120,2025-06-11,Tablet,macOS,Edge,Referral,51,4,False,False
S0000185,U001104,2024-01-15,Mobile,Android,Firefox,Referral,11,10,False,False
S0000186,U000800,2024-08-13,Mobile,iOS,Chrome,Email,58,11,False,False
S0000187,U000479,2024-03-18,Desktop,Android,Firefox,YouTube,37,9,False,False
S0000188,U001085,2024-12-20,Mobile,macOS,Edge,Email,19,9,False,False
S0000189,U001928,2025-10-25,Tablet,iOS,Edge,Email,21,12,False,False
S0000190,U000256,2025-07-29,Tablet,macOS,Safari,YouTube,39,2,False,False
S0000191,U001523,2024-12-06,Desktop,Android,Edge,Facebook,11,3,False,False
S0000192,U001046,2025-06-22,Tablet,Android,Chrome,Paid Search,58,1,True,False
S0000193,U001962,2025-06-13,Desktop,Windows,Chrome,Facebook,27,7,False,False
S0000194,U001554,2024-09-29,Desktop,Android,Firefox,Instagram,45,3,False,True
S0000195,U001480,2024-03-30,Mobile,macOS,Edge,Email,12,7,False,False
S0000196,U000240,2024-09-07,Desktop,iOS,Firefox,Instagram,13,6,False,False
S0000197,U000442,2025-06-21,Tablet,iOS,Edge,Facebook,24,12,False,False
S0000198,U001843,2025-12-23,Mobile,Windows,Chrome,Referral,56,5,False,False
S0000199,U001577,2025-07-27,Desktop,iOS,Firefox,Referral,22,5,False,False
S0000200,U001310,2024-06-30,Mobile,iOS,Edge,Facebook,42,5,False,False
S0000201,U000556,2025-03-31,Desktop,Windows,Edge,Paid Search,25,4,False,False
S0000202,U000407,2025-03-29,Desktop,Android,Firefox,YouTube,8,7,False,False
S0000203,U000202,2025-10-07,Tablet,macOS,Edge,Facebook,19,3,False,False
S0000204,U001880,2024-02-23,Mobile,macOS,Firefox,Paid Search,29,12,False,False
S0000205,U001831,2025-03-30,Mobile,macOS,Firefox,Paid Search,24,4,False,False
S0000206,U001953,2025-03-17,Tablet,Windows,Edge,Facebook,17,6,False,False
S0000207,U000428,2025-04-05,Tablet,Android,Chrome,Instagram,31,10,False,False
S0000208,U001165,2024-07-14,Desktop,Android,Chrome,Organic Search,30,9,False,False
S0000209,U000072,2025-10-23,Desktop,macOS,Firefox,Email,47,9,False,True
S0000210,U000364,2024-06-01,Tablet,macOS,Edge,Facebook,48,8,False,False
S0000211,U001984,2025-08-29,Tablet,Windows,Firefox,YouTube,14,12,False,True
S0000212,U001358,2025-05-28,Tablet,macOS,Chrome,Organic Search,1,7,False,False
S0000213,U001924,2024-07-01,Mobile,macOS,Firefox,Paid Search,25,10,False,False
S0000214,U001830,2025-06-02,Mobile,macOS,Chrome,YouTube,57,3,False,False
S0000215,U000931,2025-07-19,Desktop,macOS,Chrome,Instagram,22,1,True,False
S0000216,U000390,2025-05-09,Mobile,iOS,Chrome,Direct,38,1,True,False
S0000217,U000907,2024-03-08,Mobile,Windows,Firefox,Organic Search,47,4,False,True
S0000218,U001064,2025-08-13,Tablet,macOS,Edge,Direct,12,8,False,False
S0000219,U001681,2025-09-06,Desktop,Windows,Firefox,Facebook,8,3,False,True
S0000220,U001357,2024-01-07,Desktop,macOS,Safari,Referral,10,6,False,True
S0000221,U000383,2025-11-25,Mobile,Windows,Firefox,Paid Search,33,5,False,False
S0000222,U000377,2024-02-29,Desktop,Windows,Safari,Email,18,5,False,False
S0000223,U000616,2025-02-03,Tablet,macOS,Chrome,Instagram,54,8,False,False
S0000224,U000255,2024-06-09,Tablet,iOS,Firefox,Referral,38,6,False,False
S0000225,U000724,2024-11-10,Desktop,Android,Safari,Direct,21,11,False,False
S0000226,U001020,2025-02-24,Desktop,macOS,Safari,Referral,38,4,False,True
S0000227,U000284,2024-04-09,Mobile,macOS,Safari,YouTube,43,10,False,False
S0000228,U000943,2025-10-13,Tablet,Windows,Chrome,Instagram,2,8,False,False
S0000229,U000019,2025-08-07,Tablet,Windows,Firefox,Organic Search,38,4,False,False
S0000230,U000244,2024-12-30,Mobile,Windows,Edge,Instagram,50,5,False,False
S0000231,U001355,2025-01-29,Mobile,iOS,Safari,YouTube,52,7,False,False
S0000232,U001545,2024-10-14,Tablet,macOS,Edge,Instagram,28,12,False,True
S0000233,U000920,2024-02-04,Desktop,Windows,Safari,Instagram,20,11,False,False
S0000234,U000904,2025-03-17,Mobile,Windows,Chrome,Facebook,55,2,False,False
S0000235,U001630,2025-01-16,Mobile,macOS,Firefox,Facebook,9,7,False,False
S0000236,U000884,2025-07-22,Mobile,iOS,Firefox,Facebook,59,2,False,False
S0000237,U001970,2024-07-28,Tablet,Android,Firefox,YouTube,4,9,False,False
S0000238,U001844,2024-06-04,Desktop,Android,Safari,Referral,24,4,False,False
S0000239,U001768,2024-01-16,Desktop,Windows,Safari,YouTube,49,12,False,False
S0000240,U000510,2024-04-03,Desktop,macOS,Edge,Referral,59,11,False,False
S0000241,U001166,2025-11-05,Tablet,iOS,Edge,Instagram,57,5,False,False
S0000242,U000489,2025-12-22,Desktop,iOS,Safari,Referral,5,3,False,False
S0000243,U001732,2024-11-19,Mobile,Windows,Safari,Instagram,51,10,False,False
S0000244,U001028,2024-04-26,Desktop,Android,Firefox,YouTube,50,3,False,False
S0000245,U000170,2025-11-27,Tablet,macOS,Safari,Facebook,21,3,False,False
S0000246,U000491,2025-04-14,Tablet,Windows,Edge,Organic Search,44,10,False,False
S0000247,U000032,2025-09-17,Desktop,iOS,Chrome,Referral,53,4,False,False
S0000248,U000948,2024-12-25,Mobile,iOS,Chrome,Direct,1,1,True,False
S0000249,U001757,2025-09-10,Tablet,iOS,Safari,Instagram,19,3,False,False
S0000250,U001153,2025-02-09,Mobile,Android,Safari,YouTube,15,12,False,False
S0000251,U001324,2024-05-11,Tablet,iOS,Safari,Paid Search,46,4,False,False
S0000252,U001220,2024-05-21,Tablet,Android,Chrome,Facebook,20,3,False,False
S0000253,U000739,2025-03-20,Mobile,macOS,Edge,Email,4,9,False,False
S0000254,U000650,2025-02-24,Tablet,macOS,Safari,Email,17,7,False,True
S0000255,U000648,2025-03-20,Tablet,macOS,Firefox,Email,29,3,False,False
S0000256,U001405,2024-04-04,Mobile,iOS,Chrome,Paid Search,43,4,False,False
S0000257,U001817,2025-11-20,Desktop,Windows,Edge,Email,31,2,False,False
S0000258,U001242,2024-02-15,Mobile,Windows,Firefox,Facebook,54,12,False,False
S0000259,U001111,2024-12-30,Desktop,Android,Safari,YouTube,19,2,False,False
S0000260,U000385,2025-09-04,Mobile,Android,Chrome,Email,4,11,False,False
S0000261,U001675,2024-05-27,Tablet,Android,Chrome,Organic Search,31,9,False,False
S0000262,U001599,2025-05-13,Desktop,macOS,Safari,Referral,38,4,False,False
S0000263,U000704,2025-04-28,Desktop,iOS,Safari,YouTube,51,8,False,False
S0000264,U001769,2025-11-22,Desktop,Windows,Edge,Facebook,20,6,False,False
S0000265,U000392,2024-07-17,Desktop,iOS,Edge,Instagram,58,9,False,False
S0000266,U001204,2025-09-21,Mobile,Windows,Edge,YouTube,50,12,False,False
S0000267,U000358,2024-07-26,Desktop,Android,Edge,Organic Search,40,4,False,False
S0000268,U001795,2024-03-30,Mobile,Android,Edge,Email,35,10,False,False
S0000269,U001165,2024-06-03,Tablet,Windows,Firefox,Instagram,42,2,False,False
